osmid,name,highway,oneway,length,from,to,lanes,service,access,maxspeed,ref,width,junction,bridge,tunnel,u,v,key
"85808215",Parque Nacional Pan de Azúcar,tertiary,"0",45.195999999999998,"1503233265","996081883",,,,,,,,,,"996081883","1503233265","0"
"85808215",Parque Nacional Pan de Azúcar,tertiary,"0",43.408999999999999,"1503233369","996081883",,,,,,,,,,"996081883","1503233369","0"
"85807905",Parque Nacional Rapa Nui,residential,"0",43.789000000000001,"1503233364","996081884",,,,,,,,,,"996081884","1503233364","0"
"85807905",Parque Nacional Rapa Nui,residential,"0",45.493000000000002,"1503233216","996081884",,,,,,,,,,"996081884","1503233216","0"
"85807879",René Schneider Poniente,tertiary,"0",125.338999999999999,"996081886","996081885",,,,,,,,,,"996081885","996081886","0"
"545729919",Reserva Nacional Los Ruiles,tertiary,"0",52.039000000000001,"1503233353","996081885",,,,,,,,,,"996081885","1503233353","0"
"545729919",Reserva Nacional Los Ruiles,tertiary,"0",14.670000000000000,"1503250664","996081885",,,,,,,,,,"996081885","1503250664","0"
"85807879",René Schneider Poniente,tertiary,"0",226.034000000000020,"5588643320","996081885",,,,,,,,,,"996081885","5588643320","0"
"85807879",René Schneider Poniente,tertiary,"0",163.062999999999988,"996081888","996081886",,,,,,,,,,"996081886","996081888","0"
"195681230",Parque Nacional Fray Jorge,residential,"0",47.908999999999999,"6496594698","996081886",,,,,,,,,,"996081886","6496594698","0"
"195681230",Parque Nacional Fray Jorge,residential,"0",14.753000000000000,"1503250672","996081886",,,,,,,,,,"996081886","1503250672","0"
"85807879",René Schneider Poniente,tertiary,"0",157.600999999999999,"996081891","996081888",,,,,,,,,,"996081888","996081891","0"
"85808210",Parque Nacional Hornopirén,residential,"0",42.936000000000000,"6496594703","996081888",,,,"40",,,,,,"996081888","6496594703","0"
"85808210",Parque Nacional Hornopirén,residential,"0",17.199000000000002,"1503250671","996081888",,,,"40",,,,,,"996081888","1503250671","0"
"692106530",,footway,"0",67.191000000000003,"6496594708","996081888",,,,,,,,,,"996081888","6496594708","0"
"85807879",René Schneider Poniente,tertiary,"0",152.343999999999994,"996081893","996081891",,,,,,,,,,"996081891","996081893","0"
"137034526",Reserva Nacional Los Flamencos,residential,"0",49.027000000000001,"1503233411","996081891",,,,,,,,,,"996081891","1503233411","0"
"137034526",Reserva Nacional Los Flamencos,residential,"0",15.092000000000001,"1503250645","996081891",,,,,,,,,,"996081891","1503250645","0"
"85808215",Parque Nacional Pan de Azúcar,tertiary,"0",50.494000000000000,"1503233275","996081893",,,,,,,,,,"996081893","1503233275","0"
"85808215",Parque Nacional Pan de Azúcar,tertiary,"0",16.061000000000000,"1503250667","996081893",,,,,,,,,,"996081893","1503250667","0"
"85807879",René Schneider Poniente,tertiary,"0",61.469000000000001,"996083106","996081893",,,,,,,,,,"996081893","996083106","0"
"85807884",Lago Rosselot,residential,"0",48.991999999999997,"996081900","996081898",,,,,,,,,,"996081898","996081900","0"
"195670638",Lago Palena,residential,"0",33.258000000000003,"1503290742","996081898",,,,,,,,,,"996081898","1503290742","0"
"195670638",Lago Palena,residential,"0",9.968000000000000,"1503290671","996081898",,,,,,,,,,"996081898","1503290671","0"
"85807884",Lago Rosselot,residential,"0",43.511000000000003,"1503290801","996081900",,,,,,,,,,"996081900","1503290801","0"
"408444286",Parque Nacional Pan de Azúcar,living_street,"0",64.501000000000005,"1503290841","996081900","1",,,,,,,,,"996081900","1503290841","0"
"408444282",Parque Magallanes,residential,"0",39.534999999999997,"1503290726","996081908",,,,,,,,,,"996081908","1503290726","0"
"85807884",Lago Rosselot,residential,"0",48.908000000000001,"1503290751","996081908",,,,,,,,,,"996081908","1503290751","0"
"85807884",Lago Rosselot,residential,"0",58.064000000000000,"1503290828","996081908",,,,,,,,,,"996081908","1503290828","0"
"263695554",Avenida Juan Soldado,residential,"0",12.987000000000000,"2694512888","2694512887",,,,,,,,,,"2694512887","2694512888","0"
"263695554",Avenida Juan Soldado,residential,"0",117.061000000000007,"583093557","2694512887",,,,,,,,,,"2694512887","583093557","0"
"263799691",Avenida Estadio,secondary,"0",104.846999999999994,"6981554058","2694512887","2",,,,,,,,,"2694512887","6981554058","0"
"263799691",Avenida Estadio,secondary,"0",76.061000000000007,"991537733","2694512887","2",,,,,,,,,"2694512887","991537733","0"
