y,x,osmid,highway,v_Input_FID
-29.971104799999999,-71.301989300000002,"2705042638",,"6"
-29.971315000000001,-71.298443599999999,"2705042640",,"6"
-29.971467000000001,-71.298176299999994,"2705042651",,"6"
-29.971683899999999,-71.298743200000004,"2705042657",,"6"
-29.972497900000000,-71.297460299999997,"2705042683",,"6"
-29.970283500000001,-71.297015400000006,"6431486222",,"6"
-29.970362399999999,-71.297093200000006,"6431486226",,"6"
-29.970312300000000,-71.297154800000001,"6431486231",,"6"
-29.970325400000000,-71.297394400000002,"6431486232",,"6"
-29.970267499999999,-71.296786100000006,"6431486233",,"6"
-29.970236400000001,-71.297092500000005,"6431486234",,"6"
-29.970048899999998,-71.297093099999998,"6431486235",,"6"
-29.970947299999999,-71.297878699999998,"6431486744",,"6"
-29.970794500000000,-71.297726999999995,"6431486745",,"6"
-29.970891399999999,-71.297592300000005,"6431486746",,"6"
-29.970999800000001,-71.297700399999997,"6431486747",,"6"
-29.970982400000000,-71.298034700000002,"6431486748",,"6"
-29.970663800000001,-71.297703400000003,"6431486749",,"6"
-29.970867999999999,-71.297416600000005,"6431486750",,"6"
-29.969382000000000,-71.297299100000004,"6431486779",,"6"
-29.969298599999998,-71.297116799999998,"6431486782",,"6"
-29.969542600000000,-71.297053700000006,"6431486788",,"6"
-29.969214500000000,-71.296679499999996,"6431486790",,"6"
-29.969163300000002,-71.296753600000002,"6431486791",,"6"
-29.969398099999999,-71.296997200000007,"6431486792",,"6"
-29.969355799999999,-71.296953299999998,"6431486808",,"6"
-29.969411500000000,-71.296878000000007,"6431486809",,"6"
-29.979428200000001,-71.307046900000003,"3755325043",,"6"
-29.973410200000000,-71.301449000000005,"6085916329",,"6"
-29.973415599999999,-71.301401499999997,"6085916331",,"6"
-29.973528999999999,-71.301312400000000,"6085916336",,"6"
-29.979463299999999,-71.306417199999999,"3649160373",,"6"
-29.973279500000000,-71.301533699999993,"6166922450",,"6"
-29.973225599999999,-71.301498800000005,"6166922451",,"6"
-29.978875200000001,-71.303564699999995,"3649160500",,"6"
-29.967175000000001,-71.300835300000003,"5421516851",,"6"
-29.971924000000001,-71.305378200000007,"3771517367",,"6"
-29.971999900000000,-71.305110099999993,"3771517429",,"6"
-29.972117000000001,-71.304782000000003,"3771517638",,"6"
-29.972173999999999,-71.304390699999999,"3771517689",,"6"
-29.972247700000000,-71.304696100000001,"3771517765",,"6"
-29.972248600000000,-71.304680300000001,"3771517766",,"6"
-29.972298899999998,-71.304892300000006,"3771517792",,"6"
-29.976915300000002,-71.299294900000007,"1070157384",,"6"
-29.977122699999999,-71.301882899999995,"3754939489",,"6"
-29.976846599999998,-71.298967800000000,"1070157582",,"6"
-29.977256499999999,-71.305973300000005,"2365728616",,"6"
-29.975887900000000,-71.306195500000001,"2365728618",,"6"
-29.975574600000002,-71.302812799999998,"3754940336",,"6"
-29.972448000000000,-71.305770899999999,"1860952025",,"6"
-29.981445200000000,-71.299644400000005,"3756974142",,"6"
-29.981605999999999,-71.299522999999994,"3756974147",,"6"
-29.981702100000000,-71.299449400000000,"3756974151",,"6"
-29.972783100000001,-71.300231600000004,"3736200357",,"6"
-29.972468400000000,-71.297371400000003,"3514886796",,"6"
-29.976993499999999,-71.297947500000006,"3514886863",,"6"
-29.977267800000000,-71.299788800000002,"3514886866",,"6"
-29.971732100000001,-71.305159200000006,"2528767242",,"6"
-29.972103799999999,-71.305460699999998,"2528767285",,"6"
-29.972820299999999,-71.303199399999997,"2528767317",,"6"
-29.972489700000001,-71.305388300000004,"2528767326",,"6"
-29.972593799999999,-71.305712099999994,"2528767328",,"6"
-29.973246700000001,-71.305031000000000,"2528767331",,"6"
-29.973362999999999,-71.305401900000007,"2528767337",,"6"
-29.972948899999999,-71.306419300000002,"2528767345",,"6"
-29.973051000000002,-71.305527799999993,"2528767350",,"6"
-29.973253199999998,-71.306315100000006,"2528767352",,"6"
-29.972290699999999,-71.296885700000004,"6110179948",,"6"
-29.972135999999999,-71.297132300000001,"6110179949",,"6"
-29.972171899999999,-71.297075000000007,"6110179950",,"6"
-29.971217400000000,-71.302093799999994,"5464781435",,"6"
